時間,設備,值
2024-10-26 15:59:46,SA-52/TEMPERATURE,33.6
2024-10-26 15:59:47,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:48,SA-52/TEMPERATURE,33.6
2024-10-26 15:59:49,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:50,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:51,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:52,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:53,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:58,SA-52/TEMPERATURE,33.6
2024-10-26 15:59:59,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:02,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:03,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:04,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:04,SA-52/LIGHT_STATE,0
2024-10-26 16:00:05,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:06,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:06,SA-52/LIGHT_STATE,1
2024-10-26 16:00:10,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:11,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:13,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:15,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:16,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:16,SA-52/LIGHT_STATE,0
2024-10-26 16:00:17,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:18,SA-52/LIGHT_STATE,1
2024-10-26 16:00:19,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:21,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:22,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:25,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:27,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:28,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:29,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:35,SA-52/TEMPERATURE,33.13
2024-10-26 16:00:36,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:49,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:50,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:52,SA-52/TEMPERATURE,32.66
2024-10-26 16:00:53,SA-52/TEMPERATURE,33.6
2024-10-26 16:00:58,SA-52/TEMPERATURE,34.07
2024-10-26 16:00:59,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:02,SA-52/TEMPERATURE,33.13
2024-10-26 16:01:03,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:10,SA-52/TEMPERATURE,34.07
2024-10-26 16:01:11,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:19,SA-52/TEMPERATURE,33.13
2024-10-26 16:01:20,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:21,SA-52/LIGHT_STATE,0
2024-10-26 16:01:22,SA-52/TEMPERATURE,33.13
2024-10-26 16:01:23,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:24,SA-52/LIGHT_STATE,1
2024-10-26 16:01:25,SA-52/TEMPERATURE,33.13
2024-10-26 16:01:25,SA-52/LIGHT_STATE,0
2024-10-26 16:01:26,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:31,SA-52/LIGHT_STATE,1
2024-10-26 16:01:33,SA-52/LIGHT_STATE,0
2024-10-26 16:01:34,SA-52/TEMPERATURE,33.13
2024-10-26 16:01:36,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:36,SA-52/LIGHT_STATE,1
2024-10-26 16:01:38,SA-52/LIGHT_STATE,0
2024-10-26 16:01:38,SA-52/LIGHT_STATE,1
2024-10-26 16:01:39,SA-52/LIGHT_STATE,0
2024-10-26 16:01:41,SA-52/LIGHT_STATE,1
2024-10-26 16:01:48,SA-52/TEMPERATURE,33.13
2024-10-26 16:01:48,SA-52/LIGHT_STATE,0
2024-10-26 16:01:49,SA-52/TEMPERATURE,33.6
2024-10-26 16:01:49,SA-52/LIGHT_STATE,1
2024-10-26 16:01:59,SA-52/TEMPERATURE,34.07
2024-10-26 16:02:01,SA-52/TEMPERATURE,33.6
2024-10-26 16:02:02,SA-52/TEMPERATURE,33.13
2024-10-26 16:02:03,SA-52/TEMPERATURE,34.07
2024-10-26 16:02:04,SA-52/TEMPERATURE,33.6
2024-10-26 16:02:11,SA-52/LIGHT_STATE,0
2024-10-26 16:03:20,SA-52/TEMPERATURE,33.13
2024-10-26 16:03:20,SA-52/LIGHT_STATE,1
2024-10-26 16:04:32,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:12,SA-52/LED_LEVEL,3
2024-10-26 16:05:14,SA-52/LED_LEVEL,4
2024-10-26 16:05:14,SA-52/LED_LEVEL,7
2024-10-26 16:05:14,SA-52/TEMPERATURE,33.13
2024-10-26 16:05:15,SA-52/LED_LEVEL,10
2024-10-26 16:05:15,SA-52/TEMPERATURE,32.66
2024-10-26 16:05:16,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:17,SA-52/LED_LEVEL,9
2024-10-26 16:05:17,SA-52/TEMPERATURE,32.66
2024-10-26 16:05:18,SA-52/LED_LEVEL,6
2024-10-26 16:05:18,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:19,SA-52/LED_LEVEL,3
2024-10-26 16:05:20,SA-52/TEMPERATURE,33.13
2024-10-26 16:05:20,SA-52/LIGHT_STATE,0
2024-10-26 16:05:21,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:21,SA-52/LIGHT_STATE,1
2024-10-26 16:05:22,SA-52/LIGHT_STATE,0
2024-10-26 16:05:23,SA-52/LIGHT_STATE,1
2024-10-26 16:05:24,SA-52/TEMPERATURE,33.13
2024-10-26 16:05:26,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:32,SA-52/TEMPERATURE,33.13
2024-10-26 16:05:33,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:34,SA-52/TEMPERATURE,33.13
2024-10-26 16:05:35,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:35,SA-52/LIGHT_STATE,0
2024-10-26 16:05:36,SA-52/LIGHT_STATE,1
2024-10-26 16:05:41,SA-52/TEMPERATURE,32.66
2024-10-26 16:05:42,SA-52/TEMPERATURE,33.13
2024-10-26 16:05:43,SA-52/TEMPERATURE,33.6
2024-10-26 16:05:44,SA-52/LED_LEVEL,2
2024-10-26 16:05:45,SA-52/LED_LEVEL,1
2024-10-26 16:05:46,SA-52/LED_LEVEL,0
2024-10-26 16:05:48,SA-52/LED_LEVEL,1
2024-10-26 16:05:49,SA-52/LED_LEVEL,2
2024-10-26 16:05:50,SA-52/LED_LEVEL,3
2024-10-26 16:05:51,SA-52/LED_LEVEL,6
2024-10-26 16:05:52,SA-52/LED_LEVEL,10
2024-10-26 16:05:54,SA-52/LED_LEVEL,6
2024-10-26 16:05:56,SA-52/LED_LEVEL,5
2024-10-26 16:05:57,SA-52/LED_LEVEL,2
2024-10-26 16:05:59,SA-52/LED_LEVEL,4
2024-10-26 16:05:59,SA-52/TEMPERATURE,33.13
2024-10-26 16:06:00,SA-52/LED_LEVEL,6
2024-10-26 16:06:00,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:01,SA-52/LED_LEVEL,10
2024-10-26 16:06:05,SA-52/LED_LEVEL,7
2024-10-26 16:06:06,SA-52/LED_LEVEL,6
2024-10-26 16:06:07,SA-52/LED_LEVEL,5
2024-10-26 16:06:08,SA-52/LED_LEVEL,4
2024-10-26 16:06:10,SA-52/LED_LEVEL,3
2024-10-26 16:06:10,SA-52/TEMPERATURE,33.13
2024-10-26 16:06:11,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:12,SA-52/LED_LEVEL,2
2024-10-26 16:06:16,SA-52/TEMPERATURE,33.13
2024-10-26 16:06:17,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:19,SA-52/LED_LEVEL,1
2024-10-26 16:06:20,SA-52/LED_LEVEL,0
2024-10-26 16:06:25,SA-52/LED_LEVEL,2
2024-10-26 16:06:27,SA-52/LED_LEVEL,3
2024-10-26 16:06:28,SA-52/LED_LEVEL,5
2024-10-26 16:06:29,SA-52/LED_LEVEL,7
2024-10-26 16:06:30,SA-52/LED_LEVEL,10
2024-10-26 16:06:31,SA-52/TEMPERATURE,32.66
2024-10-26 16:06:32,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:34,SA-52/LED_LEVEL,9
2024-10-26 16:06:35,SA-52/LED_LEVEL,5
2024-10-26 16:06:36,SA-52/LED_LEVEL,4
2024-10-26 16:06:37,SA-52/TEMPERATURE,34.07
2024-10-26 16:06:38,SA-52/LED_LEVEL,3
2024-10-26 16:06:38,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:39,SA-52/LIGHT_STATE,0
2024-10-26 16:06:40,SA-52/LIGHT_STATE,1
2024-10-26 16:06:42,SA-52/TEMPERATURE,32.66
2024-10-26 16:06:44,SA-52/TEMPERATURE,32.19
2024-10-26 16:06:47,SA-52/TEMPERATURE,32.66
2024-10-26 16:06:49,SA-52/TEMPERATURE,33.13
2024-10-26 16:06:49,SA-52/LIGHT_STATE,0
2024-10-26 16:06:51,SA-52/LIGHT_STATE,1
2024-10-26 16:06:52,SA-52/TEMPERATURE,32.66
2024-10-26 16:06:53,SA-52/TEMPERATURE,33.13
2024-10-26 16:06:54,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:55,SA-52/TEMPERATURE,32.66
2024-10-26 16:06:56,SA-52/TEMPERATURE,33.6
2024-10-26 16:06:58,SA-52/TEMPERATURE,33.13
2024-10-26 16:06:59,SA-52/TEMPERATURE,32.66
2024-10-26 16:07:00,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:06,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:10,SA-52/TEMPERATURE,32.66
2024-10-26 16:07:11,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:13,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:16,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:16,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:16,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:17,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:19,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:21,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:22,SA-52/TEMPERATURE,32.66
2024-10-26 16:07:23,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:25,SA-52/TEMPERATURE,32.66
2024-10-26 16:07:26,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:27,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:33,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:34,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:37,SA-52/TEMPERATURE,32.66
2024-10-26 16:07:38,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:40,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:43,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:44,SA-52/TEMPERATURE,33.6
2024-10-26 16:07:51,SA-52/TEMPERATURE,33.13
2024-10-26 16:07:52,SA-52/TEMPERATURE,32.66
2024-10-26 16:07:53,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:00,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:01,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:03,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:05,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:07,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:08,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:11,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:12,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:14,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:15,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:17,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:18,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:19,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:20,SA-52/TEMPERATURE,32.66
2024-10-26 16:08:21,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:25,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:26,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:27,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:28,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:41,SA-52/TEMPERATURE,32.66
2024-10-26 16:08:42,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:49,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:50,SA-52/TEMPERATURE,33.6
2024-10-26 16:08:54,SA-52/TEMPERATURE,33.13
2024-10-26 16:08:55,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:06,SA-52/TEMPERATURE,32.66
2024-10-26 16:09:07,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:18,SA-52/TEMPERATURE,32.66
2024-10-26 16:09:19,SA-52/TEMPERATURE,33.13
2024-10-26 16:09:20,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:23,SA-52/TEMPERATURE,33.13
2024-10-26 16:09:24,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:29,SA-52/TEMPERATURE,33.13
2024-10-26 16:09:30,SA-52/TEMPERATURE,32.66
2024-10-26 16:09:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:34,SA-52/TEMPERATURE,33.13
2024-10-26 16:09:35,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:36,SA-52/TEMPERATURE,32.66
2024-10-26 16:09:37,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:38,SA-52/TEMPERATURE,34.07
2024-10-26 16:09:39,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:44,SA-52/TEMPERATURE,33.13
2024-10-26 16:09:45,SA-52/TEMPERATURE,33.6
2024-10-26 16:09:57,SA-52/TEMPERATURE,34.07
2024-10-26 16:09:58,SA-52/TEMPERATURE,33.6
2024-10-26 16:10:06,SA-52/TEMPERATURE,32.66
2024-10-26 16:10:07,SA-52/TEMPERATURE,33.6
2024-10-26 16:10:11,SA-52/TEMPERATURE,33.13
2024-10-26 16:10:12,SA-52/TEMPERATURE,34.07
2024-10-26 16:10:13,SA-52/TEMPERATURE,33.6
2024-10-26 16:10:21,SA-52/TEMPERATURE,33.13
2024-10-26 16:10:22,SA-52/TEMPERATURE,33.6
2024-10-26 16:10:23,SA-52/TEMPERATURE,33.13
2024-10-26 16:10:24,SA-52/TEMPERATURE,33.6
2024-10-26 16:10:28,SA-52/TEMPERATURE,33.13
2024-10-26 16:10:29,SA-52/TEMPERATURE,34.07
2024-10-26 16:10:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:02,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:03,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:11,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:12,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:18,SA-52/TEMPERATURE,33.13
2024-10-26 16:11:19,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:29,SA-52/TEMPERATURE,33.13
2024-10-26 16:11:30,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:33,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:34,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:44,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:46,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:50,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:51,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:52,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:53,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:54,SA-52/TEMPERATURE,34.07
2024-10-26 16:11:55,SA-52/TEMPERATURE,33.6
2024-10-26 16:11:58,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:00,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:01,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:02,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:03,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:04,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:09,SA-52/TEMPERATURE,33.13
2024-10-26 16:12:10,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:12,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:13,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:15,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:16,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:17,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:18,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:25,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:26,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:27,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:28,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:34,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:35,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:39,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:40,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:43,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:45,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:52,SA-52/TEMPERATURE,33.13
2024-10-26 16:12:53,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:54,SA-52/TEMPERATURE,33.13
2024-10-26 16:12:55,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:56,SA-52/TEMPERATURE,33.13
2024-10-26 16:12:57,SA-52/TEMPERATURE,33.6
2024-10-26 16:12:58,SA-52/TEMPERATURE,34.07
2024-10-26 16:12:59,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:01,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:02,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:08,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:10,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:11,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:13,SA-52/TEMPERATURE,33.13
2024-10-26 16:13:14,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:15,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:16,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:17,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:19,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:22,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:26,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:27,SA-52/TEMPERATURE,33.13
2024-10-26 16:13:28,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:29,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:33,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:34,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:39,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:40,SA-52/TEMPERATURE,33.13
2024-10-26 16:13:41,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:42,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:43,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:44,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:45,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:47,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:48,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:49,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:52,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:54,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:55,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:57,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:57,SA-52/TEMPERATURE,34.07
2024-10-26 16:13:58,SA-52/TEMPERATURE,33.6
2024-10-26 16:13:59,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:00,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:02,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:04,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:05,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:06,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:08,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:09,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:11,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:12,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:13,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:14,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:17,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:18,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:19,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:20,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:23,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:24,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:27,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:28,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:30,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:34,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:37,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:39,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:40,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:42,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:45,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:50,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:51,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:53,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:54,SA-52/TEMPERATURE,33.6
2024-10-26 16:14:58,SA-52/TEMPERATURE,34.07
2024-10-26 16:14:59,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:04,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:06,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:07,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:08,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:09,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:10,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:12,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:15,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:15,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:15,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:16,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:17,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:18,SA-52/TEMPERATURE,33.13
2024-10-26 16:15:19,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:20,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:21,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:22,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:23,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:24,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:25,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:28,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:29,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:30,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:35,SA-52/TEMPERATURE,33.13
2024-10-26 16:15:36,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:37,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:40,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:41,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:48,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:52,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:53,SA-52/TEMPERATURE,33.13
2024-10-26 16:15:54,SA-52/TEMPERATURE,33.6
2024-10-26 16:15:56,SA-52/TEMPERATURE,34.07
2024-10-26 16:15:57,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:01,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:02,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:03,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:05,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:06,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:07,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:09,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:13,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:14,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:16,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:17,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:18,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:19,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:21,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:22,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:23,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:24,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:27,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:28,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:32,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:33,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:34,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:36,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:39,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:40,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:41,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:43,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:50,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:51,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:52,SA-52/TEMPERATURE,33.6
2024-10-26 16:16:53,SA-52/TEMPERATURE,34.07
2024-10-26 16:16:54,SA-52/TEMPERATURE,33.13
2024-10-26 16:16:55,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:00,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:03,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:05,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:06,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:15,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:15,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:16,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:18,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:21,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:23,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:24,SA-52/TEMPERATURE,33.13
2024-10-26 16:17:25,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:27,SA-52/TEMPERATURE,34.53
2024-10-26 16:17:28,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:29,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:30,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:31,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:34,SA-52/TEMPERATURE,34.07
2024-10-26 16:17:35,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:36,SA-52/TEMPERATURE,33.13
2024-10-26 16:17:37,SA-52/TEMPERATURE,33.6
2024-10-26 16:17:38,SA-52/TEMPERATURE,34.07
